1Amide,1Amine,2Amide,2Amine,3Amide,3Amine,Abraham AH,Abraham BH,Abraham L16,Abraham Pi,Abraham R2,Abraham Vx,Acid,Alcohol,Alkene,Amide,Amine,Anhydride,Anilines,Aromatic,Auto-Ignition,Avoidance,BP,CAS,Marker,Solvent Count,One (Hide),PP_X-Axis_CompField,PP_Y-Axis_CompField,FG_X-Axis_CompField,FG_Y-Axis_CompField,Hints and Tips,PCA2D_X-Axis_CompField,Hints,Carbonate,Chloro,Conformers TZVP-Fine,Conformers TZVP,DBIDRef TZVP-Fine,DBIDRef TZVP,Density,Dielectric,Dipole,ETN,Environmental Link,Environmental,Ester,Ether,Extension TZVP-Fine,Extension TZVP,ICH_X-Axis_CompField,VAP_X-Axis_CompField,Filename TZVP,Flammability Score,Flammability,Flash Point,Fluoro,Formula,General,Gutmann,Halogen,Hansen Disp,Hansen H-Bond,Hansen Polar,Health,Heat Capacity,Heteroaromatic Amines,Hildebrand,Hvap,Hydrocarbon,ICH Class,ICH Limit,ICH_Y-Axis_CompField,ID,Impact in Air,Impact in Water,In Ch I Key,In Ch I,Ketone/Aldehyde,LCA,MP,Miscibility,Mol. Wt.,Name,Nitrile,Nitro,Nitrogen Bases,Number of Records,Octant,Other,PC1,PC2,PC3,PC4,PC5,PCA2D_Y-Axis_CompField,PCA2D_mColor_CompField,Phosphorus Containing,Quadrant,Reactivity Literature,Reactivity,Refractive Index,Smiles,Silicone,Solubility of Water,Solvatochromic Alpha,Solvatochromic Beta,Solvatochromic Pi*,Static,Sulfide,Sulfite,Sulfone,Sulfoxide,Sulfur Containing,T-Rating,Urea,HEAT_X-Axis_CompField,VOC Potential,Vapour Pressure,Viscosity Score,Viscosity,log Pow
N,N,N,N,N,N,,,,,,1.002,N,N,N,N,N,N,N,N,258,N,162,583-60-8,,Solvent Count,1,0.496093,1.06345,0.496093,1.06345,Hints and Tips,0.496093,Hints and Tips,N,N,1,1,5,2,0.925,,,,,,N,N,cosmo,cosmo,0.496093,133,2-Methylcyclohexanone,2,Class II,48,N,C7H12O,Racemic mixture - are you forming a chiral centre ?,,N,,,,,,N,,,N,,,1.06345,133,,,LFSAPCRASZRSKS-UHFFFAOYSA-N,"InChI=1S/C7H12O/c1-6-4-2-3-5-7(6)8/h6H,2-5H2,1H3",Y,,-14,N,112.17,2-Methylcyclohexanone,N,N,N,1,0,N,0.496093,1.06345,-1.75776,0.0507666,-0.592298,1.06345,162,N,0,,,1.448,CC1CCCCC1=O,N,,,,,,N,N,N,N,N,T3,N,133,,,,,1.25
N,N,N,N,N,N,,,,,,1.392,N,N,N,N,N,N,N,N,396,N,168.4,108-83-8,,Solvent Count,1,4.08788,2.17254,4.08788,2.17254,Hints and Tips,4.08788,Hints and Tips,N,N,2,2,5,2,0.805,9.9,2.66,0.225,,,N,N,cosmo,cosmo,4.08788,15,2-6-Dimethyl-4-heptanone,2,Class II,49,N,C9H18O,,,N,,,,,2593,N,8.1,,N,,,2.17254,15,,,PTTPXKJBFFKCEK-UHFFFAOYSA-N,"InChI=1S/C9H18O/c1-7(2)5-9(10)6-8(3)4/h7-8H,5-6H2,1-4H3",Y,,-46,N,142.239,"2,6-Dimethyl-4-heptanone [Diisobutyl ketone]",N,N,N,1,8,N,4.08788,2.17254,0.294017,-0.607983,0.518781,2.17254,168.4,N,4,,,1.412,CC(CC(=O)CC(C)C)C,N,2.64,,,,,N,N,N,N,N,T2,N,15,1,1.2,0,0.898,2.96
N,N,N,N,N,N,,,,,,1.111,N,N,N,N,N,N,N,N,449,N,125.3,565-80-0,,Solvent Count,1,1.79938,0.750799,1.79938,0.750799,Hints and Tips,1.79938,Hints and Tips,N,N,1,1,5,2,0.799,17.1,2.76,0.247,,,N,N,cosmo,cosmo,1.79938,14,2-4-Dimethyl-3-pentanone,3,Class IB,15,N,C7H14O,,16.2,N,,,,,2561,N,8.7,332,N,,,0.750799,14,,,HXVNBWAKAOHACI-UHFFFAOYSA-N,"InChI=1S/C7H14O/c1-5(2)7(8)6(3)4/h5-6H,1-4H3",Y,,-69,N,114.185,"2,4-Dimethyl-3-pentanone [Diisopropyl ketone]",N,N,N,1,0,N,1.79938,0.750799,-1.22962,-0.884622,0.143899,0.750799,125.3,N,0,,,1.4,CC(C(=O)C(C)C)C,N,5.74,,,,,N,N,N,N,N,T2,N,14,1,10,0,0.631,1.86
N,N,N,N,N,N,0,0.51,3.26,0.68,0.14,0.97,N,N,N,N,N,N,N,N,424,N,127.5,591-78-6,,Solvent Count,1,0.0768134,0.775803,0.0768134,0.775803,Hints and Tips,0.0768134,Hints and Tips,N,N,1,1,4,1,0.807,14.6,2.68,0.29,,,N,N,cosmo,cosmo,0.0768134,163,2-hexanone,3,Class IC,25,N,C6H12O,,,N,,,,,2627,N,,476,N,,,0.775803,163,,,QQZOPKMRPOGIEB-UHFFFAOYSA-N,"InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3",Y,,-55.8,N,100.159,"Hexan-2-one [Methylbutylketone, MBK]",N,N,N,1,0,N,0.0768134,0.775803,-1.57643,-1.18064,0.506916,0.775803,127.5,N,0,,,1.401,CCCCC(=O)C,N,,,,,,N,N,N,N,N,T2,N,163,1,8.1,0,0.615,1.38
N,N,N,N,N,N,0,0.51,,0.62,0.11,0.97,N,N,N,N,N,N,N,N,,N,106.5,75-97-8,,Solvent Count,1,0.296798,0.437413,0.296798,0.437413,Hints and Tips,0.296798,Hints and Tips,N,N,1,1,5,2,0.801,12.7,2.79,0.256,,,N,N,cosmo,cosmo,0.296798,23,3-3-Dimethyl-2-butanone,3,Class IB,12,N,C6H12O,,17,N,,,,,2561,N,8.2,368,N,,,0.437413,23,,,PJGSXYOJTGTZAV-UHFFFAOYSA-N,"InChI=1S/C6H12O/c1-5(7)6(2,3)4/h1-4H3",Y,,-49.8,N,100.159,"3,3-Dimethyl-2-butanone [MTBK]",N,N,N,1,0,N,0.296798,0.437413,-1.87148,-1.47586,0.244384,0.437413,106.5,N,0,,,1.395,CC(=O)C(C)(C)C,N,19.71,,0.48,,,N,N,N,N,N,Not Assigned,N,23,2,24.3,0,0.712,1.2
N,N,N,N,N,N,0,0.51,,0.66,0.15,0.829,N,N,N,N,N,N,N,N,452,N,102,96-22-0,,Solvent Count,1,-0.498106,-0.435308,-0.498106,-0.435308,Hints and Tips,-0.498106,Hints and Tips,N,N,1,1,4,1,0.809,17.5,2.7,0.65,,,N,N,cosmo,cosmo,-0.498106,95,3-pentanone,3,Class IB,13,N,C5H10O,,16.5,N,7.7,2.3,3.7,,2727,N,9.1,441,N,,,-0.435308,95,,,FDPIMTJIUBPUKL-UHFFFAOYSA-N,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",Y,,-39,N,86.132,Pentan-3-one,N,N,N,1,0,N,-0.498106,-0.435308,-2.16,-1.21806,0.4441,-0.435308,102,N,0,,,1.392,CCC(=O)CC,N,46.26,,0.45,0.72,,N,N,N,N,N,T1,N,95,2,31.3,0,0.473,0.82
N,N,N,N,N,N,0,0.51,2.76,0.68,0.14,0.829,N,N,N,N,N,N,N,N,452,N,102.3,107-87-9,,Solvent Count,1,-0.879225,-0.170172,-0.879225,-0.170172,Hints and Tips,-0.879225,Hints and Tips,N,N,1,1,4,1,0.802,15.4,2.74,0.321,,,N,N,cosmo,cosmo,-0.879225,93,2-pentanone,3,Class IB,7,N,C5H10O,,17.5,N,,,,,2653,N,9,389,N,,,-0.170172,93,,,XNLICIUVMPYHGG-UHFFFAOYSA-N,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",Y,,-76.9,N,86.132,Pentan-2-one,N,N,N,1,0,N,-0.879225,-0.170172,-2.3115,-1.46341,0.431732,-0.170172,102.3,N,0,,,1.391,CCCC(=O)C,N,40.47,,0.5,,,N,N,N,N,N,T1,N,93,2,27,0,0.492,0.84
N,N,N,N,N,N,0,0.51,,0.65,0.13,0.829,N,N,N,N,N,N,N,N,448,N,94.2,563-80-4,,Solvent Count,1,-0.823085,-0.410889,-0.823085,-0.410889,Hints and Tips,-0.823085,Hints and Tips,N,N,1,1,5,2,0.805,16.6,2.79,0.315,,,N,N,cosmo,cosmo,-0.823085,24,3-Methyl-2-butanone,3,Class IB,0,N,C5H10O,,17.1,N,,,,,2579,N,8.9,561,N,,,-0.410889,24,,,SYBYTAAJFKOIEJ-UHFFFAOYSA-N,"InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3",Y,,-92,N,86.132,"3-Methyl-2-butanone [MIPK, Methyl isopropyl ketone]",N,N,N,1,1,N,-0.823085,-0.410889,-2.49464,-1.34788,0.22587,-0.410889,94.2,N,0,,,1.388,CC(=O)C(C)C,N,59.04,,0.48,,,N,N,N,N,N,T2,N,24,2,41,0,0.596,0.84
N,N,N,N,N,N,0,0.51,,0.65,0.11,0.97,N,N,N,N,N,N,N,N,459,N,116.2,108-10-1,3,Solvent Count,1,0.593996,0.332404,0.593996,0.332404,Hints and Tips,0.593996,Hints and Tips,N,N,1,1,4,1,0.798,13.1,2.69,0.269,,,N,N,cosmo,cosmo,0.593996,26,4-methyl-2-pentanone,3,Class IB,16,N,C6H12O,Good for azeotroping water - consider as an extraction solvent,16,N,7.5,2,3,2,2571,N,8.6,359,N,3,5000,0.332404,26,1,1,NTIZESTWPVYFNL-UHFFFAOYSA-N,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",Y,,-84.7,N,100.159,MIBK [Methyl iso-Butyl Ketone or 4-Methyl-2-pentanone],N,N,N,1,0,N,0.593996,0.332404,-1.82072,-1.2971,0.464529,0.332404,116.2,N,0,,,1.396,CC(CC(=O)C)C,N,13.51,,,,1,N,N,N,N,N,T1,N,26,1,14.4,0,0.58,1.31
N,N,N,N,N,N,0,0.51,2.29,0.7,0.17,0.688,N,N,N,N,N,N,N,N,516,N,79.6,78-93-3,3,Solvent Count,1,-1.47901,-1.118,-1.47901,-1.118,Hints and Tips,-1.47901,Hints and Tips,N,N,1,1,4,1,0.805,18.9,2.78,0.327,,,N,N,cosmo,cosmo,-1.47901,41,butanone,3,Class IB,-6,N,C4H8O,,17.4,N,7.8,2.5,4.4,2,2723,N,9.5,328,N,3,5000,-1.118,41,2,1,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",Y,,-86.7,N,72.106,Butanone [MEK],N,N,N,1,1,N,-1.47901,-1.118,-3.00926,-1.40615,0.410937,-1.118,79.6,N,0,,,1.379,CCC(=O)C,N,224.89,0.06,0.48,0.67,1,N,N,N,N,N,T1,N,41,2,65.2,0,0.409,0.29
N,N,N,N,N,N,0,0.56,3.79,0.86,0.4,0.861,N,N,N,N,N,N,N,N,420,N,155.8,108-94-1,,Solvent Count,1,-0.553952,0.643086,-0.553952,0.643086,Hints and Tips,-0.553952,Hints and Tips,N,N,1,1,4,1,0.948,16,3.06,0.281,,,N,N,cosmo,cosmo,-0.553952,49,cyclohexanone,2,Class II,44,N,C6H10O,,17.8,N,8.7,2.5,3.1,,1880,N,10.4,454,N,,,0.643086,49,,,JHIVVAPYMSGYDF-UHFFFAOYSA-N,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,Y,,-32.1,Y,98.143,Cyclohexanone,N,N,N,1,3,N,-0.553952,0.643086,-2.59907,0.59781,-0.259915,0.643086,155.8,N,0,,,1.451,O=C1CCCCC1,N,5.7,,0.53,0.76,,N,N,N,N,N,T2,N,49,1,3.4,1,2.241,0.81
N,N,N,N,N,N,,,,,,0.845,N,N,N,N,N,N,N,N,340,N,140.4,123-54-6,,Solvent Count,1,-1.65035,1.20012,-1.65035,1.20012,Hints and Tips,-1.65035,Hints and Tips,N,N,2,2,4,1,0.972,25.7,3.03,0.57,,,N,N,cosmo,cosmo,-1.65035,176,acetylacetone,3,Class IC,34,N,C5H8O2,,,N,,,,,2159,N,9.5,,N,,,1.20012,176,,,YRKCREAYFQTBPV-UHFFFAOYSA-N,"InChI=1S/C5H8O2/c1-4(6)3-5(2)7/h3H2,1-2H3",Y,,-23.2,Y,100.116,"Pentane-2,4-dione [Acetylacetone]",N,N,N,1,3,N,-1.65035,1.20012,-1.84785,1.25239,1.03791,1.20012,140.4,N,0,,,1.451,CC(=O)CC(=O)C,N,,,,,,N,N,N,N,N,T2,N,176,1,7,0,0.708,0.34
N,N,N,N,N,N,0,0.52,3.22,0.86,0.37,0.72,N,N,N,N,N,N,N,N,430,N,130.7,120-92-3,,Solvent Count,1,-1.5719,-0.379222,-1.5719,-0.379222,Hints and Tips,-1.5719,Hints and Tips,N,N,1,1,4,1,0.944,14.5,3.28,0.27,,,N,N,cosmo,cosmo,-1.5719,191,cyclopentanone,3,Class IC,26,N,C5H8O,,18,N,,,,,1917,N,10.5,496,N,,,-0.379222,191,,,BGTOWKSIORTVQH-UHFFFAOYSA-N,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,Y,,-51.3,Y,84.116,Cyclopentanone,N,N,N,1,1,N,-1.5719,-0.379222,-2.98984,0.3005,0.0103344,-0.379222,130.7,N,0,,,1.437,O=C1CCCC1,N,,,0.52,0.76,,N,N,N,N,N,T2,N,191,1,7.7,1,1.156,
N,N,N,N,N,N,0.04,0.49,1.7,0.7,0.18,0.547,N,N,N,N,N,N,N,N,465,N,56.1,67-64-1,3,Solvent Count,1,-3.04341,-1.91259,-3.04341,-1.91259,Hints and Tips,-3.04341,Hints and Tips,N,N,1,1,4,1,0.784,21.4,2.88,0.355,,,N,N,cosmo,cosmo,-3.04341,29,propanone,3,Class IB,-18,N,C3H6O,,17,N,7.6,3.4,5.1,2,2774,N,9.6,550,N,3,5000,-1.91259,29,1,1,CSCPPACGZOOCGX-UHFFFAOYSA-N,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,Y,,-94.7,Y,58.079,Acetone,N,N,N,1,1,N,-3.04341,-1.91259,-3.56567,-1.794,0.596176,-1.91259,56.1,N,1,,,1.359,CC(=O)C,N,790.71,0.08,0.48,0.71,1,N,N,N,N,N,T1,N,29,3,185.4,0,0.322,-0.24
N,N,N,N,N,N,0,0,,0,0,1.518,N,N,N,N,N,N,N,N,201,N,172.5,124-18-5,,Solvent Count,1,9.43312,-1.6408,9.43312,-1.6408,Hints and Tips,9.43312,Hints and Tips,N,N,1,1,4,1,0.726,2,0.07,0.009,,,N,N,cosmo,cosmo,9.43312,51,n-decane,2,Class II,46,N,C10H22,,,N,7.7,0,0,,3022,N,7.7,338,Y,,,-1.6408,51,,,DIOQZVSQGTUSAI-UHFFFAOYSA-N,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",N,,-29.6,N,142.282,Decane,N,N,N,1,6,N,9.43312,-1.6408,2.77792,-2.18634,0.270926,-1.6408,172.5,N,2,,,1.412,CCCCCCCCCC,N,,,,,,N,N,N,N,N,T3,N,51,1,1.2,0,0.917,6.25
N,N,N,N,N,N,0,0,5.16,0.25,0.54,1.3,N,N,N,N,N,N,N,N,250,N,195.8,493-01-6,,Solvent Count,1,8.12087,-2.29608,8.12087,-2.29608,Hints and Tips,8.12087,Hints and Tips,N,N,1,1,5,2,0.897,2.2,0,0.015,,,N,N,cosmo,cosmo,8.12087,46,cis-Decalin,2,Class II,58,N,C10H18,Racemic mixture - Could be problematic for asymmetric reactions.,,N,9.2,0,0,,1848,N,8.6,285,Y,,,-2.29608,46,,,NNBZCPXTIHJBJL-UHFFFAOYSA-N,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",N,,-43,N,138.25,cis-Decalin,N,N,N,1,6,N,8.12087,-2.29608,1.35479,0.446118,-1.00533,-2.29608,195.8,N,2,,,1.481,C1CCC2C(C1)CCCC2,N,0,,,,,N,N,N,N,N,T3,N,46,1,0.6,1,3.331,5.08
N,N,N,N,N,N,,,,,,1.127,N,N,N,N,N,N,N,N,262,N,129.9,1678-91-7,,Solvent Count,1,6.22973,-3.42371,6.22973,-3.42371,Hints and Tips,6.22973,Hints and Tips,N,N,1,1,5,2,0.78,,0,,,,N,N,cosmo,cosmo,6.22973,177,Ethylcyclohexane,3,Class IB,22,N,C8H16,,,N,,,,,2395,N,8,346,Y,,,-3.42371,177,,,IIEWJVIFRVWJOD-UHFFFAOYSA-N,"InChI=1S/C8H16/c1-2-8-6-4-3-5-7-8/h8H,2-7H2,1H3",N,,-111.3,N,112.213,Ethylcyclohexane,N,N,N,1,6,N,6.22973,-3.42371,0.358116,-1.35139,-0.881465,-3.42371,129.9,N,2,,,1.43,CCC1CCCCC1,N,,,,,,N,N,N,N,N,T3,N,177,1,9.8,0,0.829,
N,N,N,N,N,N,0,0,3.68,0,0,1.236,N,N,N,N,N,N,N,N,206,N,123,111-65-9,,Solvent Count,1,7.84404,-3.28431,7.84404,-3.28431,Hints and Tips,7.84404,Hints and Tips,N,N,1,1,4,1,0.699,1.9,0,0.012,,,N,N,cosmo,cosmo,7.84404,89,octane,3,Class IB,13,N,C8H18,,0,N,7.6,0,0,,3156,N,7.5,213,Y,,,-3.28431,89,,,TVMXDCGIABBOFY-UHFFFAOYSA-N,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",N,,-56.8,N,114.229,n-Octane,N,N,N,1,6,N,7.84404,-3.28431,1.46227,-2.66848,0.0377296,-3.28431,123,N,2,,,1.397,CCCCCCCC,N,,,,,,N,N,N,N,N,T3,N,89,1,10.5,0,0.542,5.15
N,N,N,N,N,N,0,0,4.18,0,0,1.377,N,N,N,N,N,N,N,N,205,N,148.8,111-84-2,,Solvent Count,1,8.70082,-2.25706,8.70082,-2.25706,Hints and Tips,8.70082,Hints and Tips,N,N,1,1,4,1,0.714,2,0.07,0.009,,,N,N,cosmo,cosmo,8.70082,88,n-nonane,3,Class IC,31,N,C9H20,,,N,7.7,0,0,,3080,N,7.6,316,Y,,,-2.25706,88,,,BKIMMITUMNQMOS-UHFFFAOYSA-N,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",N,,-53.5,N,128.255,n-Nonane,N,N,N,1,6,N,8.70082,-2.25706,2.09121,-2.23023,-0.123578,-2.25706,148.8,N,2,,,1.405,CCCCCCCCC,N,,,,,,N,N,N,N,N,T3,N,88,1,3.2,0,0.716,5.65
N,N,N,N,N,N,0,0,2.82,0.1,0.23,0.845,N,N,N,N,N,N,N,N,329,N,71.9,96-37-7,,Solvent Count,1,4.40048,-5.39104,4.40048,-5.39104,Hints and Tips,4.40048,Hints and Tips,N,N,1,1,4,1,0.74,,0,,,,N,N,cosmo,cosmo,4.40048,218,methylcyclopentane,3,Class IB,-27,N,C6H12,,,N,,,,,2521,N,7.9,409,Y,,,-5.39104,218,,,GDOPTJXRTPNYNR-UHFFFAOYSA-N,"InChI=1S/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3",N,,-142.4,N,84.16,Methylcyclopentane,N,N,N,1,2,N,4.40048,-5.39104,-0.45836,-2.23816,-0.209832,-5.39104,71.9,N,2,,,1.41,CC1CCCC1,N,,,,,,N,N,N,N,N,T2,N,218,2,110.2,0,0.504,3.37
N,N,N,N,N,N,0,0,2.48,0.1,0.26,0.705,N,N,N,N,N,N,N,N,361,N,49.2,287-92-3,,Solvent Count,1,3.59382,-6.52093,3.59382,-6.52093,Hints and Tips,3.59382,Hints and Tips,N,N,1,1,4,1,0.74,2,0,,,,N,N,cosmo,cosmo,3.59382,186,cyclopentane,3,Class IB,-39,N,C5H10,,,N,,,,,2421,N,8.1,502,Y,,,-6.52093,186,,,RGSFGYAAUTVSQA-UHFFFAOYSA-N,InChI=1S/C5H10/c1-2-4-5-3-1/h1-5H2,N,,-93.8,N,70.133,Cyclopentane,N,N,N,1,2,N,3.59382,-6.52093,-0.976066,-2.51651,-0.436023,-6.52093,49.2,N,2,,,1.406,C1CCCC1,N,,,,,,N,N,N,N,N,T2,N,186,3,257.3,0,0.441,3
N,N,N,N,N,N,0,0,2.67,0,0,0.954,N,N,N,N,N,N,N,N,225,N,68.7,110-54-3,2,Solvent Count,1,6.4397,-5.23461,6.4397,-5.23461,Hints and Tips,6.4397,Hints and Tips,N,N,1,1,4,1,0.655,1.9,0,0.009,,,N,N,cosmo,cosmo,6.4397,83,hexane,3,Class IB,-22,N,C6H14,,0,N,7.3,0,0,,3445,N,7.3,476,Y,2,290,-5.23461,83,,,VLKZOEOYAKHREP-UHFFFAOYSA-N,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",N,,-95.3,N,86.175,n-Hexane,N,N,N,1,6,N,6.4397,-5.23461,0.186644,-3.68334,0.00238809,-5.23461,68.7,N,2,,,1.375,CCCCCC,N,0.04,0,0,-0.08,,N,N,N,N,N,T3,N,83,2,120.2,0,0.318,4
N,N,N,N,N,N,0,0,3.32,0.1,0.24,0.986,N,N,N,N,N,N,N,N,285,N,100.9,108-87-2,2,Solvent Count,1,5.91508,-4.51144,5.91508,-4.51144,Hints and Tips,5.91508,Hints and Tips,N,N,2,2,4,1,0.765,2,0,,,,N,N,cosmo,cosmo,5.91508,118,methylcyclohexane,3,Class IB,-6,N,C7H14,,,N,7.8,0.5,0,,2432,N,8,341,Y,2,1180,-4.51144,118,,,UAEPNZWRGJTJPN-UHFFFAOYSA-N,"InChI=1S/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3",N,,-126.6,N,98.186,Methylcyclohexane,N,N,N,1,6,N,5.91508,-4.51144,0.00220696,-1.81105,-0.995321,-4.51144,100.9,N,2,,,1.423,Cc1ccccc1,N,,,,,,N,N,N,N,N,T3,N,118,2,36.2,0,0.742,3.88
N,N,N,N,N,N,0,0,2.16,0,0,0.813,N,N,N,N,N,N,N,N,243,N,36.1,109-66-0,3,Solvent Count,1,5.35467,-6.00755,5.35467,-6.00755,Hints and Tips,5.35467,Hints and Tips,N,N,1,1,4,1,0.621,1.8,0,0.012,,,N,N,cosmo,cosmo,5.35467,90,pentane,3,Class IA,-40,N,C5H12,,0,N,7.1,0,0,,3705,N,7,2075,Y,3,5000,-6.00755,90,,,OFBQJSOFQDEBGM-UHFFFAOYSA-N,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",N,,-129.7,N,72.149,n-Pentane,N,N,N,1,2,N,5.35467,-6.00755,-0.446493,-4.01826,0.0227278,-6.00755,36.1,N,2,,,1.358,CCCCC,N,0.05,,,,,N,N,N,N,N,T3,N,90,3,424.2,0,0.234,3.45
N,N,N,N,N,N,,,,,,0.954,N,N,N,N,N,N,N,N,306,N,60.3,107-83-5,,Solvent Count,1,5.20913,-4.80332,5.20913,-4.80332,Hints and Tips,5.20913,Hints and Tips,N,N,1,1,4,1,0.65,,0,,,,N,N,cosmo,cosmo,5.20913,18,2-methylpentane,3,Class IB,-35,N,C6H14,Static Risk,,N,,,,2,3426,N,7,376,Y,,,-4.80332,18,1,3,AFABGHUZZDYHJO-UHFFFAOYSA-N,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",N,,-153.6,N,86.175,iso-Hexane [2-Methylpentane],N,N,N,1,2,N,5.20913,-4.80332,-0.205914,-3.23107,-0.158737,-4.80332,60.3,N,2,,,1.372,CCCC(C)C,N,,,,,3,N,N,N,N,N,T2,N,18,3,171,0,0.293,4
N,N,N,N,N,N,0,0,2.96,0.1,0.31,0.845,N,N,N,N,N,N,N,N,260,N,80.7,110-82-7,2,Solvent Count,1,5.47872,-5.68202,5.47872,-5.68202,Hints and Tips,5.47872,Hints and Tips,N,N,1,1,4,1,0.778,2,0,0.01,,,N,N,cosmo,cosmo,5.47872,47,cyclohexane,3,Class IB,-20,N,C6H12,Static Risk,0,N,8.2,0.1,0,2,2371,N,8.2,462,Y,2,3880,-5.68202,47,1,3,XDTMQSROBMDMFD-UHFFFAOYSA-N,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,N,,6.7,N,84.16,Cyclohexane,N,N,N,1,2,N,5.47872,-5.68202,-0.565812,-2.17757,-0.638723,-5.68202,80.7,N,2,,,1.426,c1ccccc1,N,0.07,0,0,0,3,N,N,N,N,N,T3,N,47,2,77.5,0,0.98,3.44
N,N,N,N,N,N,0,0,3.17,0,0,1.095,N,N,N,N,N,N,N,N,204,N,98.4,142-82-5,3,Solvent Count,1,7.46235,-4.17338,7.46235,-4.17338,Hints and Tips,7.46235,Hints and Tips,N,N,1,1,4,1,0.679,1.9,0,0.012,,,N,N,cosmo,cosmo,7.46235,82,n-heptane,3,Class IB,-4,N,C7H16,Static Risk,0,N,7.5,0,0,1,3273,N,7.5,460,Y,3,5000,-4.17338,82,1,3,IMNFDUFMRHMDMM-UHFFFAOYSA-N,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",N,2,-90.6,N,100.202,n-Heptane,N,N,N,1,6,N,7.46235,-4.17338,1.01039,-3.17418,0.0714986,-4.17338,98.4,N,2,,,1.388,CCCCCCC,N,0.01,0,0,-0.08,3,N,N,N,N,N,T3,N,82,2,35.5,0,0.414,4.5
N,N,N,N,N,N,,,,,,1.619,N,N,N,N,N,N,N,N,,N,142,60433-11-6,,Solvent Count,1,10.9205,-1.87484,10.9205,-1.87484,Hints and Tips,10.9205,Hints and Tips,N,N,1,1,5,2,1.937,1.9,0,,,,N,N,cosmo,cosmo,10.9205,144,Perfluorodecalin,Not Assigned,Not Assigned,,Y,C10F18,,,Y,,,,,,N,,,N,,,-1.87484,144,,,UWEYRJFJVCLAGH-UHFFFAOYSA-N,"InChI=1S/C10F18/c11-1-2(12,5(17,18)9(25,26)7(21,22)3(1,13)14)6(19,20)10(27,28)8(23,24)4(1,15)16",N,,-10,N,462.078,Perfluorodecalin,N,N,N,1,6,N,10.9205,-1.87484,3.86093,-4.37456,2.31021,-1.87484,142,N,2,,,1.315,FC12C(F)(C(F)(F)C(C(C2(F)F)(F)F)(F)F)C(F)(F)C(C(C1(F)F)(F)F)(F)F,N,,,,,,N,N,N,N,N,Not Assigned,N,144,,,,,
N,N,N,N,N,N,,,,,,1.253,N,N,N,N,N,N,N,N,,N,393,5306-85-4,,Solvent Count,1,-1.02462,7.19679,-1.02462,7.19679,Hints and Tips,-1.02462,Hints and Tips,N,N,6,6,5,2,1.165,,,,,,N,Y,cosmo,cosmo,-1.02462,129,Dimethoxyisobide,1,Class IIIB,108,N,C8H14O4,Chiral solvent - Could be problematic for asymmetric reactions.,,N,,,,,,N,,,N,,,7.19679,129,,,MEJYDZQQVZJMPP-ULAWRXDQSA-N,"InChI=1S/C8H14O4/c1-9-5-3-11-8-6(10-2)4-12-7(5)8/h5-8H,3-4H2,1-2H3/t5-,6+,7-,8-/m1/s1",N,,-70,N,174.194,DMI [Dimethyl isosorbide],N,N,N,1,7,N,-1.02462,7.19679,0.0371237,1.02998,0.753456,7.19679,393,N,3,,,1.463,CO[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2OC,N,,,,,,N,N,N,N,N,Not Assigned,N,129,,,,,
